ID,title,author_ID,genre_code,publishedAt,pages,price,currency_code,stock,status_code,createdAt,createdBy,modifiedAt,modifiedBy
302575a4-5d5e-4053-85f2-61b87998451e,Clean Code Principles,91506250-7edb-4709-91da-ccaf426a0744,SE,2017-06-08,45,5461136.49,USD,120,A,2007-03-13T00:00:00.000Z,createdBy.2c1@example.com,2021-08-20T00:00:00.000Z,modifiedBy.2c1@example.net
30264634-feb5-4d19-870b-9385823a2f38,Agile Software Craftsmanship,91506250-7edb-4709-91da-ccaf426a0744,AD,2017-01-29,3,5506268.05,EUR,15,L,2013-07-03T00:00:00.000Z,createdBy.2c2@example.com,2007-04-22T00:00:00.000Z,modifiedBy.2c2@example.net
302735ea-bb92-46fa-b493-698df9edad87,The Clean Coder Handbook,91506250-7edb-4709-91da-ccaf426a0744,PD,2009-05-15,25,2917514.80,GBP,0,U,2008-11-16T00:00:00.000Z,createdBy.2c3@example.com,2004-07-02T00:00:00.000Z,modifiedBy.2c3@example.org
30289100-4b2c-42c6-b7d8-b379a633edac,Professional Software Development,91506250-7edb-4709-91da-ccaf426a0744,SE,2007-11-01,55,1101974.94,AUD,75,A,2014-03-27T00:00:00.000Z,createdBy.2c4@example.com,2014-06-11T00:00:00.000Z,modifiedBy.2c4@example.org
3029bfc7-dae7-4ce6-918d-34ef95b0a128,Refactoring Legacy Code,91506250-7edb-4709-91da-ccaf426a0744,CR,2008-12-18,48,6170400.14,USD,8,L,2023-11-03T00:00:00.000Z,createdBy.2c5@example.com,2010-04-25T00:00:00.000Z,modifiedBy.2c5@example.com
3030d125-c47e-4463-81b4-98d01bca8232,Software Design Best Practices,91506250-7edb-4709-91da-ccaf426a0744,SD,2021-01-04,85,7129103.06,EUR,0,U,2002-04-24T00:00:00.000Z,createdBy.2c6@example.org,2018-08-20T00:00:00.000Z,modifiedBy.2c6@example.com
3031ecfd-6376-4af3-be16-c64dee1803ca,Writing Maintainable Code,91506250-7edb-4709-91da-ccaf426a0744,PR,2014-05-02,16,9551583.56,JPY,40,A,2016-02-01T00:00:00.000Z,createdBy.2c7@example.com,2019-12-27T00:00:00.000Z,modifiedBy.2c7@example.com
303250ca-ad78-44fd-ba91-2e05f082028b,Clean Architecture Explained,91506250-7edb-4709-91da-ccaf426a0744,SA,2008-12-13,68,8229224.22,AUD,12,L,2011-07-21T00:00:00.000Z,createdBy.2c8@example.net,2009-05-09T00:00:00.000Z,modifiedBy.2c8@example.com
3033cae8-185e-4e26-9add-78d6511605c1,Code Quality and Craftsmanship,91506250-7edb-4709-91da-ccaf426a0744,CQ,2001-10-23,80,6509442.23,GBP,0,U,2023-11-27T00:00:00.000Z,createdBy.2c9@example.com,2021-05-22T00:00:00.000Z,modifiedBy.2c9@example.org
3034ac93-5e87-4559-b952-60909e1438ed,Modern Software Engineering,91506250-7edb-4709-91da-ccaf426a0744,SE,2013-07-25,71,575437.07,USD,95,A,2010-12-28T00:00:00.000Z,createdBy.2ca@example.org,2017-05-14T00:00:00.000Z,modifiedBy.2ca@example.net
